product_id,product_name,category,unit_price
PROD-0001,Wireless Bluetooth Headphones,Electronics,79.99
PROD-0002,Organic Cotton T-Shirt,Clothing,24.99
PROD-0003,Premium Ground Coffee 12oz,Groceries,12.49
PROD-0004,Stainless Steel Water Bottle,Home & Garden,19.99
PROD-0005,Running Shoes Pro,Sports,129.99
PROD-0006,Moisturizing Face Cream,Beauty,34.99
PROD-0007,Building Blocks Set 500pc,Toys,39.99
PROD-0008,Python Programming Guide,Books,44.99
PROD-0009,Car Phone Mount,Automotive,15.99
PROD-0010,Multivitamin 90ct,Health,22.99
PROD-0011,4K Webcam,Electronics,89.99
PROD-0012,Denim Jacket,Clothing,59.99
PROD-0013,Organic Honey 16oz,Groceries,8.99
PROD-0014,Garden Tool Set,Home & Garden,45.99
PROD-0015,Yoga Mat Premium,Sports,35.99
